iter	Passed	Remaining
0	4	4360
1	8	4094
2	12	3993
3	15	3918
4	19	3957
5	23	3929
6	27	3893
7	31	3880
8	34	3843
9	38	3817
10	42	3800
11	46	3811
12	50	3834
13	54	3863
14	59	3900
15	63	3907
16	67	3888
17	71	3877
18	74	3858
19	79	3880
20	83	3876
21	87	3882
22	90	3860
23	95	3877
24	99	3881
25	103	3868
26	107	3861
27	111	3866
28	115	3857
29	119	3852
30	123	3851
31	126	3839
32	130	3838
33	134	3831
34	138	3819
35	142	3819
36	146	3812
37	150	3807
38	153	3788
39	157	3776
40	161	3781
41	166	3788
42	170	3793
43	174	3798
44	178	3796
45	182	3785
46	186	3786
47	190	3781
48	195	3795
49	199	3788
50	203	3783
51	207	3785
52	211	3775
53	214	3765
54	219	3763
55	222	3752
56	227	3758
57	230	3749
58	234	3745
59	239	3755
60	243	3754
61	248	3755
62	252	3754
63	256	3750
64	260	3745
65	264	3738
66	267	3731
67	272	3734
68	276	3736
69	280	3729
70	284	3724
71	288	3718
72	292	3712
73	296	3704
74	299	3699
75	304	3699
76	308	3693
77	312	3688
78	315	3682
79	319	3677
80	323	3675
81	327	3669
82	331	3660
83	335	3657
84	339	3658
85	343	3655
86	348	3656
87	352	3649
88	356	3645
89	359	3639
90	363	3633
91	367	3630
92	371	3627
93	375	3623
94	380	3623
95	384	3616
96	387	3611
97	392	3608
98	396	3606
99	400	3601
100	404	3599
101	408	3596
102	412	3589
103	415	3582
104	420	3580
105	423	3575
106	428	3572
107	432	3568
108	436	3564
109	439	3559
110	443	3555
111	447	3550
112	451	3546
113	455	3543
114	459	3539
115	463	3533
116	468	3536
117	472	3533
118	476	3527
119	479	3519
120	484	3517
121	488	3518
122	493	3518
123	498	3518
124	502	3515
125	506	3510
126	509	3498
127	512	3488
128	515	3478
129	518	3469
130	521	3460
131	524	3451
132	527	3441
133	531	3432
134	534	3422
135	537	3412
136	540	3403
137	543	3395
138	546	3386
139	549	3376
140	552	3367
141	555	3358
142	559	3350
143	562	3341
144	565	3333
145	568	3326
146	571	3317
147	574	3309
148	578	3302
149	581	3294
150	584	3286
151	587	3278
152	590	3270
153	593	3261
154	597	3255
155	600	3249
156	603	3240
157	606	3233
158	609	3224
159	612	3217
160	616	3210
161	619	3203
162	622	3195
163	625	3187
164	628	3179
165	631	3172
166	634	3164
167	637	3157
168	640	3150
169	643	3143
170	646	3136
171	650	3129
172	653	3122
173	656	3115
174	659	3108
175	662	3101
176	665	3095
177	669	3089
178	672	3084
179	675	3077
180	678	3070
181	681	3064
182	684	3057
183	687	3051
184	691	3044
185	694	3038
186	697	3032
