iter	Passed	Remaining
0	3	3639
1	8	4009
2	12	4038
3	16	4065
4	20	3996
5	24	4030
6	28	4066
7	32	4067
8	36	4073
9	40	4031
10	44	4042
11	49	4035
12	53	4059
13	57	4067
14	61	4041
15	65	4021
16	69	4001
17	73	4009
18	77	4004
19	81	3993
20	85	3978
21	89	3969
22	93	3965
23	97	3970
24	101	3963
25	105	3949
26	109	3954
27	113	3942
28	117	3932
29	121	3928
30	125	3927
31	130	3934
32	134	3929
33	137	3912
34	141	3902
35	145	3896
36	149	3885
37	153	3877
38	156	3868
39	160	3863
40	164	3855
41	168	3846
42	172	3843
43	176	3839
44	180	3829
45	184	3820
46	187	3810
47	192	3814
48	196	3815
49	200	3816
50	204	3814
51	208	3808
52	212	3803
53	217	3804
54	222	3816
55	226	3822
56	230	3813
57	234	3810
58	238	3807
59	242	3803
60	246	3791
61	249	3780
62	253	3763
63	256	3757
64	260	3744
65	263	3729
66	266	3714
67	270	3702
68	273	3693
69	277	3683
70	280	3671
71	283	3655
72	286	3640
73	289	3625
74	292	3611
75	296	3599
76	299	3587
77	302	3577
78	305	3566
79	309	3554
80	312	3542
81	315	3529
82	318	3520
83	321	3508
84	324	3498
85	328	3488
86	331	3476
87	334	3465
88	337	3456
89	340	3446
90	344	3436
91	347	3427
92	350	3418
93	353	3410
94	356	3399
95	360	3390
96	363	3381
97	366	3372
98	369	3363
99	372	3354
100	376	3346
101	379	3337
102	382	3329
103	385	3321
104	388	3311
105	391	3305
106	395	3298
107	398	3291
108	401	3283
109	404	3275
110	408	3267
111	411	3260
112	414	3253
113	417	3246
114	420	3239
115	423	3230
116	427	3223
117	430	3216
118	433	3209
119	436	3202
120	440	3196
121	443	3189
122	446	3183
123	449	3176
124	452	3170
125	456	3164
126	459	3157
127	462	3150
128	465	3144
129	468	3137
130	472	3132
131	475	3125
132	478	3119
133	481	3113
134	485	3107
135	488	3101
136	491	3095
137	494	3090
138	497	3084
139	500	3077
140	504	3072
141	507	3066
142	510	3061
143	514	3057
144	518	3055
145	522	3053
146	525	3051
147	529	3045
148	532	3039
149	535	3033
150	538	3028
151	541	3022
152	546	3023
153	550	3021
154	554	3021
155	558	3021
156	562	3021
157	566	3018
158	570	3018
159	574	3016
160	577	3009
161	580	3004
162	584	2999
163	587	2992
164	590	2987
165	594	2988
166	598	2986
167	602	2985
168	606	2983
169	610	2981
170	614	2981
171	618	2979
172	622	2977
173	626	2971
174	629	2966
175	632	2961
176	635	2955
177	639	2951
178	643	2950
179	648	2952
180	652	2953
181	655	2947
182	659	2942
183	662	2936
184	665	2930
185	668	2925
186	671	2920
187	675	2915
188	678	2911
189	682	2908
190	686	2907
191	690	2905
192	693	2900
193	697	2896
194	700	2891
195	703	2886
196	707	2882
197	710	2878
198	714	2874
199	717	2869
200	720	2865
201	724	2860
202	727	2855
203	730	2849
204	733	2844
205	736	2840
206	740	2835
207	743	2830
208	746	2825
209	749	2820
210	752	2815
211	755	2809
212	758	2804
213	761	2798
214	765	2793
215	768	2788
216	771	2782
217	774	2778
218	777	2773
219	781	2770
220	784	2765
221	787	2761
222	791	2756
223	794	2752
224	797	2747
225	801	2743
226	804	2739
227	807	2735
228	811	2731
229	814	2727
230	817	2722
231	820	2717
232	824	2713
233	827	2709
234	831	2705
235	834	2701
236	837	2697
237	841	2693
238	844	2689
239	847	2684
240	851	2680
241	854	2676
242	857	2672
243	861	2668
244	864	2663
245	867	2659
246	870	2654
247	874	2650
248	877	2645
249	880	2641
250	883	2636
251	886	2631
252	889	2627
253	893	2623
254	896	2618
255	899	2613
256	902	2609
257	905	2604
258	908	2600
259	911	2595
260	915	2590
261	918	2587
262	921	2582
263	924	2578
264	928	2574
265	931	2570
266	934	2565
267	938	2562
268	941	2558
269	944	2554
270	947	2549
271	951	2545
272	954	2541
273	957	2537
274	960	2532
275	963	2528
276	966	2523
277	970	2519
278	973	2515
279	976	2511
280	979	2506
281	982	2502
282	986	2498
283	989	2494
284	992	2490
285	995	2486
286	999	2482
287	1002	2478
288	1005	2473
289	1008	2469
290	1011	2465
291	1015	2461
292	1018	2457
293	1021	2452
294	1024	2448
295	1028	2445
296	1031	2441
297	1034	2437
298	1038	2433
299	1041	2430
300	1044	2426
301	1048	2423
302	1051	2419
303	1054	2415
304	1058	2411
305	1061	2407
306	1064	2403
307	1068	2399
308	1071	2395
309	1074	2391
310	1077	2387
311	1081	2384
312	1084	2379
313	1087	2375
314	1090	2372
315	1093	2367
316	1097	2363
317	1100	2360
318	1103	2356
319	1107	2352
320	1110	2348
321	1113	2344
322	1116	2340
323	1119	2336
324	1123	2332
325	1126	2328
326	1129	2324
327	1132	2321
328	1136	2316
329	1139	2313
330	1142	2309
331	1146	2305
332	1149	2301
333	1152	2297
334	1155	2293
335	1158	2289
336	1161	2285
337	1164	2281
338	1168	2277
339	1171	2273
340	1174	2270
341	1178	2266
342	1181	2263
343	1185	2260
344	1188	2256
345	1191	2252
346	1194	2248
347	1197	2244
348	1201	2240
349	1204	2236
350	1207	2232
351	1210	2229
352	1214	2225
353	1217	2221
354	1220	2217
355	1223	2213
356	1226	2209
357	1230	2206
358	1233	2202
359	1236	2198
360	1239	2194
361	1242	2190
362	1246	2186
363	1249	2182
364	1252	2179
365	1255	2175
366	1258	2171
367	1261	2167
368	1265	2163
369	1268	2159
370	1271	2155
371	1274	2151
372	1278	2148
373	1281	2144
374	1284	2140
375	1287	2136
376	1290	2132
377	1293	2128
378	1297	2125
379	1300	2121
380	1303	2117
381	1306	2113
382	1309	2110
383	1313	2106
384	1316	2102
385	1319	2098
386	1322	2095
387	1325	2091
388	1329	2087
389	1332	2083
390	1335	2080
391	1339	2076
392	1342	2073
393	1345	2069
394	1348	2065
395	1352	2062
396	1355	2058
397	1359	2055
398	1362	2052
399	1366	2050
400	1370	2047
401	1373	2043
402	1376	2039
403	1379	2035
404	1383	2032
405	1386	2028
406	1389	2024
407	1392	2020
408	1396	2017
409	1399	2013
410	1402	2009
411	1405	2005
412	1408	2002
413	1411	1998
414	1415	1994
415	1418	1990
416	1421	1987
417	1424	1984
418	1428	1980
419	1431	1976
420	1434	1972
421	1437	1969
422	1440	1965
423	1444	1961
424	1447	1958
425	1450	1954
426	1453	1951
427	1457	1947
428	1460	1943
429	1463	1940
430	1466	1936
431	1470	1932
432	1473	1929
433	1476	1925
434	1479	1921
435	1482	1917
436	1485	1914
437	1489	1910
438	1492	1907
439	1495	1903
440	1498	1899
441	1501	1896
442	1504	1892
443	1508	1888
444	1511	1885
445	1514	1881
446	1517	1877
447	1520	1874
448	1524	1870
449	1527	1866
450	1530	1863
451	1533	1859
452	1537	1855
453	1540	1852
454	1543	1848
455	1546	1844
456	1549	1841
457	1553	1838
458	1556	1834
459	1559	1830
460	1562	1827
461	1565	1823
462	1569	1820
463	1572	1816
464	1575	1812
465	1578	1808
466	1581	1805
467	1584	1801
468	1587	1797
469	1591	1794
470	1594	1790
471	1597	1787
472	1600	1783
473	1604	1780
474	1607	1776
475	1610	1772
476	1613	1769
477	1617	1765
478	1620	1762
479	1623	1758
480	1626	1755
481	1629	1751
482	1632	1747
483	1636	1744
484	1639	1740
485	1642	1737
486	1645	1733
487	1648	1730
488	1652	1726
489	1655	1722
490	1658	1719
491	1661	1715
492	1664	1712
493	1668	1708
494	1672	1705
495	1675	1702
496	1678	1699
497	1681	1695
498	1685	1691
499	1688	1688
500	1691	1684
501	1694	1681
502	1697	1677
503	1700	1673
504	1704	1670
505	1707	1667
506	1710	1663
507	1714	1660
508	1717	1656
509	1720	1653
510	1723	1649
511	1727	1646
512	1730	1642
513	1733	1639
514	1736	1635
515	1739	1632
516	1743	1628
517	1746	1624
518	1749	1621
519	1752	1617
520	1755	1614
521	1759	1610
522	1762	1607
523	1765	1604
524	1769	1600
525	1772	1597
526	1775	1593
527	1778	1590
528	1781	1586
529	1785	1583
530	1788	1579
531	1791	1576
532	1794	1572
533	1798	1569
534	1801	1565
535	1804	1562
536	1807	1558
537	1810	1555
538	1814	1551
539	1817	1548
540	1820	1544
541	1823	1541
542	1827	1537
543	1830	1534
544	1833	1530
545	1836	1527
546	1839	1523
547	1843	1520
548	1846	1516
549	1849	1513
550	1852	1509
551	1855	1506
552	1858	1502
553	1861	1498
554	1865	1495
555	1868	1492
556	1871	1488
557	1874	1485
558	1877	1481
559	1881	1478
560	1884	1474
561	1887	1471
562	1890	1467
563	1894	1464
564	1897	1460
565	1900	1457
566	1903	1453
567	1907	1450
568	1910	1446
569	1913	1443
570	1916	1439
571	1919	1436
572	1922	1433
573	1926	1429
574	1930	1426
575	1933	1423
576	1937	1420
577	1941	1417
578	1944	1413
579	1947	1410
580	1951	1407
581	1955	1404
582	1958	1400
583	1961	1397
584	1964	1393
585	1967	1390
586	1971	1386
587	1974	1383
588	1977	1379
589	1980	1376
590	1983	1372
591	1987	1369
592	1990	1366
593	1993	1362
594	1996	1359
595	1999	1355
596	2002	1352
597	2006	1348
598	2009	1345
599	2012	1341
600	2015	1338
601	2018	1334
602	2021	1331
603	2025	1327
604	2028	1324
605	2031	1320
606	2034	1317
607	2037	1313
608	2041	1310
609	2044	1307
610	2047	1303
611	2050	1300
612	2053	1296
613	2057	1293
614	2060	1289
615	2063	1286
616	2066	1282
617	2070	1279
618	2073	1276
619	2076	1272
620	2079	1269
621	2082	1265
622	2085	1262
623	2089	1258
624	2092	1255
625	2095	1252
626	2099	1248
627	2102	1245
628	2105	1241
629	2108	1238
630	2111	1234
631	2114	1231
632	2118	1228
633	2121	1224
634	2124	1221
635	2127	1217
636	2130	1214
637	2134	1210
638	2137	1207
639	2140	1203
640	2144	1200
641	2147	1197
642	2150	1193
643	2153	1190
644	2157	1187
645	2160	1183
646	2164	1180
647	2167	1177
648	2171	1174
649	2174	1170
650	2177	1167
651	2180	1163
652	2183	1160
653	2186	1157
654	2190	1153
655	2193	1150
656	2196	1146
657	2200	1143
658	2203	1140
659	2206	1136
660	2209	1133
661	2212	1129
662	2215	1126
663	2219	1122
664	2222	1119
665	2225	1116
666	2228	1112
667	2231	1109
668	2235	1105
669	2238	1102
670	2241	1099
671	2244	1095
672	2247	1092
673	2251	1088
674	2254	1085
675	2257	1081
676	2260	1078
677	2263	1075
678	2266	1071
679	2269	1068
680	2273	1064
681	2276	1061
682	2279	1057
683	2282	1054
684	2285	1051
685	2289	1047
686	2292	1044
687	2295	1041
688	2299	1037
689	2302	1034
690	2305	1031
691	2309	1027
692	2312	1024
693	2315	1020
694	2318	1017
695	2321	1013
696	2324	1010
697	2329	1007
698	2333	1004
699	2337	1001
700	2341	998
701	2346	995
702	2350	992
703	2353	989
704	2357	986
705	2361	983
706	2365	980
707	2369	977
708	2373	974
709	2378	971
710	2382	968
711	2385	964
712	2389	961
713	2392	958
714	2395	954
715	2398	951
716	2402	948
717	2405	944
718	2408	941
719	2411	937
720	2415	934
721	2418	931
722	2422	927
723	2425	924
724	2428	921
725	2431	917
726	2434	914
727	2438	911
728	2441	907
729	2444	904
730	2448	900
731	2451	897
732	2454	894
733	2457	890
734	2460	887
735	2463	883
736	2467	880
737	2470	876
738	2473	873
739	2476	870
740	2480	866
741	2483	863
742	2486	860
743	2490	856
744	2493	853
745	2496	850
746	2499	846
747	2502	843
748	2505	839
749	2509	836
750	2512	833
751	2515	829
752	2518	826
753	2521	822
754	2525	819
755	2528	815
756	2531	812
757	2534	809
758	2537	805
759	2541	802
760	2544	799
761	2547	795
762	2550	792
763	2554	788
764	2557	785
765	2560	782
766	2563	778
767	2566	775
768	2570	772
769	2573	768
770	2576	765
771	2579	761
772	2582	758
773	2585	755
774	2589	751
775	2592	748
776	2595	744
777	2598	741
778	2601	738
779	2605	734
780	2608	731
781	2611	727
782	2614	724
783	2617	721
784	2621	717
785	2624	714
786	2627	711
787	2630	707
788	2633	704
789	2637	701
790	2640	697
791	2643	694
792	2647	690
793	2650	687
794	2654	684
795	2658	681
796	2661	677
797	2664	674
798	2668	671
799	2671	667
800	2674	664
801	2677	661
802	2680	657
803	2684	654
804	2687	651
805	2690	647
806	2693	644
807	2697	640
808	2700	637
809	2703	634
810	2706	630
811	2709	627
812	2712	623
813	2715	620
814	2719	617
815	2722	613
816	2725	610
817	2728	607
818	2732	603
819	2735	600
820	2738	597
821	2741	593
822	2744	590
823	2747	586
824	2751	583
825	2754	580
826	2757	576
827	2760	573
828	2763	570
829	2766	566
830	2770	563
831	2773	559
832	2776	556
833	2779	553
834	2782	549
835	2786	546
836	2789	543
837	2792	539
838	2795	536
839	2798	533
840	2801	529
841	2805	526
842	2808	523
843	2811	519
844	2814	516
845	2817	512
846	2820	509
847	2823	506
848	2826	502
849	2830	499
850	2833	496
851	2836	492
852	2839	489
853	2842	486
854	2846	482
855	2849	479
856	2852	475
857	2855	472
858	2859	469
859	2862	465
860	2865	462
861	2868	459
862	2871	455
863	2875	452
864	2878	449
865	2881	445
866	2884	442
867	2888	439
868	2891	435
869	2894	432
870	2897	429
871	2900	425
872	2904	422
873	2907	419
874	2910	415
875	2913	412
876	2916	409
877	2920	405
878	2923	402
879	2926	399
880	2929	395
881	2933	392
882	2936	389
883	2939	385
884	2942	382
885	2945	379
886	2948	375
887	2951	372
888	2954	368
889	2958	365
890	2961	362
891	2964	358
892	2967	355
893	2971	352
894	2974	348
895	2977	345
896	2980	342
897	2984	338
898	2987	335
899	2990	332
900	2993	328
901	2996	325
902	2999	322
903	3003	318
904	3006	315
905	3009	312
906	3012	308
907	3016	305
908	3019	302
909	3022	298
910	3025	295
911	3029	292
912	3032	288
913	3035	285
914	3038	282
915	3041	278
916	3044	275
917	3047	272
918	3051	268
919	3054	265
920	3057	262
921	3060	258
922	3063	255
923	3067	252
924	3070	248
925	3073	245
926	3077	242
927	3080	239
928	3083	235
929	3086	232
930	3090	229
931	3093	225
932	3096	222
933	3099	219
934	3102	215
935	3105	212
936	3109	209
937	3112	205
938	3115	202
939	3118	199
940	3121	195
941	3125	192
942	3128	189
943	3131	185
944	3134	182
945	3138	179
946	3141	175
947	3145	172
948	3148	169
949	3151	165
950	3155	162
951	3158	159
952	3162	155
953	3165	152
954	3168	149
955	3171	145
956	3175	142
957	3179	139
958	3183	136
959	3186	132
960	3189	129
961	3193	126
962	3196	122
963	3199	119
964	3202	116
965	3205	112
966	3208	109
967	3212	106
968	3215	102
969	3218	99
970	3221	96
971	3225	92
972	3228	89
973	3231	86
974	3234	82
975	3237	79
976	3240	76
977	3244	72
978	3247	69
979	3250	66
980	3253	63
981	3256	59
982	3260	56
983	3263	53
984	3266	49
985	3270	46
986	3273	43
987	3276	39
988	3279	36
989	3282	33
990	3286	29
991	3289	26
992	3292	23
993	3295	19
994	3298	16
995	3302	13
996	3305	9
997	3308	6
998	3311	3
999	3314	0
